commentId,userId,enrollmentId,courseId,content,createdAt
oghFdlHl,70,1Cp32IhU,3,It was okay.,2024-10-07T15:07:42.740932
wqSszvwC,237,M2EWH1It,16,I loved this course!,2024-10-07T15:07:42.740932
3x0Arof6,155,oWCMSfLl,1,I didn't like it.,2024-10-07T15:07:42.740932
fTg6iEip,246,uOUCxoeI,2,It was okay.,2024-10-07T15:07:42.740932
gUCIWtln,105,jIGPVVaK,20,It was okay.,2024-10-07T15:07:42.740932
u9UfZ4Nc,218,tkoUCGT4,8,It was okay.,2024-10-07T15:07:42.740932
fmxrL2DH,128,R7TOURoe,11,I didn't like it.,2024-10-07T15:07:42.740932
h8vtGqs3,155,dYq7vq01,9,I loved this course!,2024-10-07T15:07:42.740932
hbAnhWDR,41,AoRMVjut,2,I loved this course!,2024-10-07T15:07:42.740932
D1jIA70N,95,enWKE7gU,17,I didn't like it.,2024-10-07T15:07:42.740932
WMfLdsaf,273,V7uDNupw,2,I didn't like it.,2024-10-07T15:07:42.740932
U9f8DSir,254,LFEov1uD,17,I didn't like it.,2024-10-07T15:07:42.740932
6VSXTijU,70,ORS4Ma3E,1,It was okay.,2024-10-07T15:07:42.740932
1McqVchx,221,xIEMYA9I,6,It was okay.,2024-10-07T15:07:42.740932
ddtCC9h1,40,qUwnb5rQ,10,It was okay.,2024-10-07T15:07:42.740932
qRMTieuz,93,nzY4qLuL,12,It was okay.,2024-10-07T15:07:42.740932
y9bkim2a,39,XCDx33NA,10,It was okay.,2024-10-07T15:07:42.741930
8I3j5orm,153,hLoZlkIU,7,I didn't like it.,2024-10-07T15:07:42.741930
LAuR52C1,288,n8cTROOT,1,I loved this course!,2024-10-07T15:07:42.741930
vADyXbuc,14,RKOhS4Yq,7,It was okay.,2024-10-07T15:07:42.741930
wbz1E0Cb,101,6tP4Cp8v,11,I didn't like it.,2024-10-07T15:07:42.741930
C3H224Lc,28,Um1r6wNc,6,I didn't like it.,2024-10-07T15:07:42.741930
4fANmuKL,28,lTPkFMAi,1,I didn't like it.,2024-10-07T15:07:42.741930
FfbFKr4x,259,FYLuFwKF,2,It was okay.,2024-10-07T15:07:42.741930
75uxa6Sz,125,fdjpeGwb,18,It was okay.,2024-10-07T15:07:42.741930
WzdTgGjM,242,70zccHAg,12,I loved this course!,2024-10-07T15:07:42.741930
iOf1VqjK,196,goThjU8I,17,It was okay.,2024-10-07T15:07:42.741930
50rDmPYC,161,tlPcxMhD,11,It was okay.,2024-10-07T15:07:42.741930
ZppXNDUN,115,ETEZ02BB,7,It was okay.,2024-10-07T15:07:42.741930
GWyF1F9w,118,W8AZBWHG,8,It was okay.,2024-10-07T15:07:42.741930
yNPi0Dsk,170,LN5GbP1c,13,It was okay.,2024-10-07T15:07:42.741930
bkZnf4ou,187,qp270XDP,13,I loved this course!,2024-10-07T15:07:42.741930
dVmayNTN,184,0OMKjNvN,10,It was okay.,2024-10-07T15:07:42.741930
aU3oY20g,31,TzKYcYmg,11,It was okay.,2024-10-07T15:07:42.741930
h5Ipn6Vg,292,zgXBId57,1,It was okay.,2024-10-07T15:07:42.741930
1cF2JGtO,151,Fxi6WBaC,15,I didn't like it.,2024-10-07T15:07:42.741930
DowNeutD,20,2QDOVTt5,19,I didn't like it.,2024-10-07T15:07:42.742969
nrmqq53C,264,c8NKHgKE,9,I didn't like it.,2024-10-07T15:07:42.742969
QXInQ0rZ,293,CJCrmagG,8,I didn't like it.,2024-10-07T15:07:42.742969
tpTJySIO,276,UjFypMSE,3,I loved this course!,2024-10-07T15:07:42.742969
UrIKstYi,184,81INQoKZ,3,It was okay.,2024-10-07T15:07:42.742969
Oa1nvZSd,60,Opz880iU,19,I didn't like it.,2024-10-07T15:07:42.742969
jzWTzFYI,212,X5IyULe8,15,I didn't like it.,2024-10-07T15:07:42.742969
AeinVhIc,69,uarbjfSf,10,I loved this course!,2024-10-07T15:07:42.742969
qW2xnrgr,14,ZhaiIUmE,1,It was okay.,2024-10-07T15:07:42.742969
5hticEg8,244,39n39eON,17,It was okay.,2024-10-07T15:07:42.742969
zvaLBBR2,234,XtiKmjyd,6,I didn't like it.,2024-10-07T15:07:42.742969
ST05IO8u,22,wXT6jYbc,11,I loved this course!,2024-10-07T15:07:42.742969
IBYZ1z91,138,6HohqQy2,10,I loved this course!,2024-10-07T15:07:42.742969
BB0ZVmk4,212,GUwaUmrj,19,I didn't like it.,2024-10-07T15:07:42.742969
232sZ1aS,128,1p9arZAJ,2,It was okay.,2024-10-07T15:07:42.742969
sn1qZ569,105,RZ7cihJx,7,It was okay.,2024-10-07T15:07:42.742969
bVM5691O,211,PQIxGyXd,18,I loved this course!,2024-10-07T15:07:42.742969
S07jOHRy,116,caWcxDBs,13,I loved this course!,2024-10-07T15:07:42.742969
nFu6NLUh,161,WGQnQqW3,8,I loved this course!,2024-10-07T15:07:42.743967
dh0BBxYH,96,pLSIbDMp,8,I loved this course!,2024-10-07T15:07:42.743967
yglj0cDJ,9,flWoeMDN,2,I loved this course!,2024-10-07T15:07:42.743967
QSoCP7Jg,108,FVHrgS9t,3,It was okay.,2024-10-07T15:07:42.743967
9i4gHgs2,248,JxWHzqff,11,I loved this course!,2024-10-07T15:07:42.743967
YvVto7Pb,16,KuBWisDH,4,I loved this course!,2024-10-07T15:07:42.743967
199Nax24,127,HbcNU0sR,5,It was okay.,2024-10-07T15:07:42.743967
eJGe91Ej,250,lBCK3yIy,4,I didn't like it.,2024-10-07T15:07:42.743967
qANLxEl8,218,Lr3VtCv4,14,It was okay.,2024-10-07T15:07:42.743967
pj7v2wJp,237,58hBrhaw,20,I didn't like it.,2024-10-07T15:07:42.743967
6lOjgqNv,129,IbSq8LYM,4,I didn't like it.,2024-10-07T15:07:42.743967
7AzQ1zzR,103,OC1YAALa,2,I didn't like it.,2024-10-07T15:07:42.743967
CpSBLVvB,122,VJxdwMSU,2,It was okay.,2024-10-07T15:07:42.743967
0tEXVrH9,257,8pli7rbl,14,I loved this course!,2024-10-07T15:07:42.743967
SufzHBlX,227,sjTmxTPF,2,It was okay.,2024-10-07T15:07:42.743967
bC68vaKP,271,B1g0LK0V,16,I loved this course!,2024-10-07T15:07:42.743967
cWa9X4Ki,154,NtiZggBF,1,It was okay.,2024-10-07T15:07:42.743967
ryNFIuFE,158,6ht0XOsX,11,I loved this course!,2024-10-07T15:07:42.743967
7Ri2qFkS,146,tiZN1RWh,5,I loved this course!,2024-10-07T15:07:42.743967
wjO4p52Y,272,rqbqE1T8,5,I didn't like it.,2024-10-07T15:07:42.743967
5sfbFbHc,158,UwY9Nmfc,13,I loved this course!,2024-10-07T15:07:42.743967
YM0gxcKZ,129,ueNkEBbC,6,It was okay.,2024-10-07T15:07:42.743967
0C0TcLtM,15,6OTfo61b,9,I loved this course!,2024-10-07T15:07:42.743967
mdSEfk1O,25,eFEJjZqA,7,It was okay.,2024-10-07T15:07:42.744967
5EumzYWO,236,ACtscF6M,5,I didn't like it.,2024-10-07T15:07:42.744967
tZ9LeI86,112,0KXzvtur,11,I didn't like it.,2024-10-07T15:07:42.744967
y9DMOnSk,73,LchouYm0,15,I didn't like it.,2024-10-07T15:07:42.744967
6wAaMbPg,279,vLiUzyFY,13,I didn't like it.,2024-10-07T15:07:42.744967
MPw6qkez,61,IpdEsyye,20,I didn't like it.,2024-10-07T15:07:42.744967
pdKW2naU,158,9LQAVkk2,3,I didn't like it.,2024-10-07T15:07:42.744967
DO5yKMwR,89,NVpp6Ufg,13,I didn't like it.,2024-10-07T15:07:42.744967
OJcYQhbv,41,3qZ9ovMC,14,It was okay.,2024-10-07T15:07:42.744967
JPFPhjvY,94,Z19MTqaI,6,I didn't like it.,2024-10-07T15:07:42.744967
oWAOAMrl,110,PnXJrGBH,15,It was okay.,2024-10-07T15:07:42.744967
GHCXVS7g,5,M1fdz0jG,12,I didn't like it.,2024-10-07T15:07:42.744967
lADCqctS,139,uy9eRXFL,14,It was okay.,2024-10-07T15:07:42.744967
Na4rDBKG,61,iBKL4hKh,16,I loved this course!,2024-10-07T15:07:42.744967
JgxoSmda,84,gBCXr2ZU,2,I didn't like it.,2024-10-07T15:07:42.744967
Qg5cxkCZ,78,Dy2oDVni,9,I loved this course!,2024-10-07T15:07:42.744967
wsFyD9ih,144,51vpEANP,3,I didn't like it.,2024-10-07T15:07:42.744967
reuMGJ13,110,D4YTvKed,20,I loved this course!,2024-10-07T15:07:42.744967
5OYVCNRv,5,Td1JEkDE,7,I didn't like it.,2024-10-07T15:07:42.744967
ALhirKhr,174,vzv7nTGR,3,It was okay.,2024-10-07T15:07:42.744967
LW6HAIVy,45,ichbUnYi,8,I didn't like it.,2024-10-07T15:07:42.744967
hJuccC5L,51,mYyLjCeU,11,I didn't like it.,2024-10-07T15:07:42.744967
FWDE7emZ,246,LKQurMrm,1,I didn't like it.,2024-10-07T15:07:42.744967
bqpNSlnZ,15,Huou0Nq7,19,I didn't like it.,2024-10-07T15:07:42.744967
PbHCtZpS,75,S9b5iQPo,20,I didn't like it.,2024-10-07T15:07:42.744967
jqRNyew6,204,uUpI9Gie,17,I loved this course!,2024-10-07T15:07:42.744967
365WQoRk,264,fyp0XlrD,7,I loved this course!,2024-10-07T15:07:42.745967
qEyBhZtU,161,Y1ZNll0U,7,I didn't like it.,2024-10-07T15:07:42.745967
ZIu5BcBz,2,352o3yPm,12,I didn't like it.,2024-10-07T15:07:42.745967
LfvNTZrQ,299,Hqhe83u3,17,I loved this course!,2024-10-07T15:07:42.745967
yTfLF8Yl,151,PF95Ksdx,5,I loved this course!,2024-10-07T15:07:42.745967
SkY7fRiT,33,WjvwmZMf,7,It was okay.,2024-10-07T15:07:42.745967
QPoXX5Th,72,zcGThGBZ,18,I loved this course!,2024-10-07T15:07:42.745967
1N2l0NtP,82,NsO76VWu,17,I loved this course!,2024-10-07T15:07:42.745967
k6YeTqkt,212,1g4hQSls,20,I didn't like it.,2024-10-07T15:07:42.745967
85tCfYnk,223,iJqzLo3q,15,I didn't like it.,2024-10-07T15:07:42.745967
cFVEyHOT,21,LIQXA3c6,10,I loved this course!,2024-10-07T15:07:42.745967
RxBOuwRG,1,vfxxUmm0,19,I loved this course!,2024-10-07T15:07:42.745967
EJIsh3cZ,82,5mSQmS27,4,It was okay.,2024-10-07T15:07:42.745967
xl55EUzG,107,8HpdIBiz,19,I didn't like it.,2024-10-07T15:07:42.745967
AhxiXYrP,193,q65BSkY3,16,It was okay.,2024-10-07T15:07:42.745967
aAWkFRwN,113,VqeimZVm,18,I loved this course!,2024-10-07T15:07:42.745967
OWTA4nSu,74,EHSwPfI0,6,I didn't like it.,2024-10-07T15:07:42.745967
s7EUWDgK,181,VNVIRbo9,6,I didn't like it.,2024-10-07T15:07:42.745967
32HCuZUc,171,iwb3RNR1,3,I didn't like it.,2024-10-07T15:07:42.745967
L6MTeLKr,35,QTlpazPT,6,I loved this course!,2024-10-07T15:07:42.745967
QznF0EEt,186,Gl1Ynbbb,4,It was okay.,2024-10-07T15:07:42.745967
DE71t7sv,186,FgYzAHIT,13,I loved this course!,2024-10-07T15:07:42.746967
ISRMnMY5,23,bzQhXfj1,11,It was okay.,2024-10-07T15:07:42.746967
3pnsGp6R,37,LmobF8Mc,2,I loved this course!,2024-10-07T15:07:42.746967
XNV4NXPr,83,WgFZFvh6,11,It was okay.,2024-10-07T15:07:42.746967
65blYk8G,251,z161S213,16,I didn't like it.,2024-10-07T15:07:42.746967
vqTG8aZG,96,U1dIUIMK,5,It was okay.,2024-10-07T15:07:42.746967
AR9HWTqV,266,yojI5hAu,6,I loved this course!,2024-10-07T15:07:42.746967
85XNoZJ1,207,R588ASjp,8,It was okay.,2024-10-07T15:07:42.746967
xfdJvZ2U,201,AkBJTzh2,7,I loved this course!,2024-10-07T15:07:42.746967
lUvWG565,285,LtjLBj9k,11,I loved this course!,2024-10-07T15:07:42.746967
0jF8ZGdA,253,2Gll1AJu,13,I didn't like it.,2024-10-07T15:07:42.746967
6q39ogxO,239,ba2z1ohk,11,I didn't like it.,2024-10-07T15:07:42.746967
1VkMjAYh,141,av7oMDau,6,It was okay.,2024-10-07T15:07:42.746967
TcyKJnSB,177,SdhZS04c,7,I loved this course!,2024-10-07T15:07:42.746967
9YGDhozE,183,DKqUxXSV,16,It was okay.,2024-10-07T15:07:42.746967
OmvZIF3G,230,JwN5o5gi,13,It was okay.,2024-10-07T15:07:42.746967
rdHqQPrC,268,lHAdZmNd,16,It was okay.,2024-10-07T15:07:42.746967
C6FJIbz7,132,Ox1Os3za,10,I didn't like it.,2024-10-07T15:07:42.746967
TH01HIZV,171,MoUX5AKg,10,It was okay.,2024-10-07T15:07:42.747967
7OFymGvX,171,UaxQO9iq,20,I didn't like it.,2024-10-07T15:07:42.747967
YDuwLZKX,70,gQxtXgQc,9,I didn't like it.,2024-10-07T15:07:42.747967
QVyV3YZ5,97,XFSn8Kbw,12,I loved this course!,2024-10-07T15:07:42.747967
csgiTI5C,54,bDBMrRNj,15,I loved this course!,2024-10-07T15:07:42.747967
51bTIEbH,243,B0CITPj0,19,I loved this course!,2024-10-07T15:07:42.747967
kremY6g8,207,QJJOTfBm,16,It was okay.,2024-10-07T15:07:42.747967
nnZw2RKl,88,c3f6NSf0,16,I didn't like it.,2024-10-07T15:07:42.747967
OAnyIWER,300,igIbjg0Z,20,It was okay.,2024-10-07T15:07:42.747967
8C1UIO6n,294,anBm6QFB,4,It was okay.,2024-10-07T15:07:42.747967
FZIY5xYq,15,i0MIdgqc,7,I loved this course!,2024-10-07T15:07:42.747967
L1VyIqlD,149,oDsA3ESg,9,It was okay.,2024-10-07T15:07:42.747967
D7GCSxZF,60,pfUHI93j,7,I loved this course!,2024-10-07T15:07:42.747967
eHxA6Rtl,130,fas3aud0,12,I didn't like it.,2024-10-07T15:07:42.747967
28bmhomq,209,C6qZNEMa,19,I loved this course!,2024-10-07T15:07:42.747967
qHLb6jtM,178,vcVKUk5h,16,I loved this course!,2024-10-07T15:07:42.747967
l5Dd3Iv1,159,jnPdRoid,2,I loved this course!,2024-10-07T15:07:42.747967
dIubiuFa,54,fJLJfi6P,10,It was okay.,2024-10-07T15:07:42.747967
HrT25v97,231,tc9qs48i,6,I loved this course!,2024-10-07T15:07:42.747967
Vd38jksu,115,8hsPqTcZ,12,I didn't like it.,2024-10-07T15:07:42.747967
GYXLDS7d,153,4vuvCPfn,11,I didn't like it.,2024-10-07T15:07:42.747967
FvuQxVf4,136,ErtDNDcj,4,I didn't like it.,2024-10-07T15:07:42.747967
PVNVWK1l,128,Iy243OD1,4,I loved this course!,2024-10-07T15:07:42.748967
a2qSNDOy,5,eyvrksyg,10,It was okay.,2024-10-07T15:07:42.748967
ZuPENva0,69,O0pV6gRU,9,I didn't like it.,2024-10-07T15:07:42.748967
pChQQa25,162,ucaK7JUN,3,I loved this course!,2024-10-07T15:07:42.748967
uhGIgvwJ,118,mrjuUtuf,14,I loved this course!,2024-10-07T15:07:42.748967
P1iHUBaV,187,Us2b9svt,3,I didn't like it.,2024-10-07T15:07:42.748967
sM3wZQH7,138,a33T8KUy,8,I loved this course!,2024-10-07T15:07:42.748967
do6UXLnr,284,CufX118R,6,I loved this course!,2024-10-07T15:07:42.748967
U75XCkMW,28,lihQLatZ,10,It was okay.,2024-10-07T15:07:42.748967
9Zfbp9CK,60,nYeuG2BX,13,It was okay.,2024-10-07T15:07:42.748967
9TS92ziT,48,VrzLHEou,15,I loved this course!,2024-10-07T15:07:42.748967
6cYodKgy,230,rOjE6pp0,14,I didn't like it.,2024-10-07T15:07:42.748967
DA5lSqd7,128,MNtjiyEb,14,I didn't like it.,2024-10-07T15:07:42.748967
SMTjGFHE,121,il9vXKIJ,11,It was okay.,2024-10-07T15:07:42.748967
393Tv7IN,92,ds4aTZG8,12,I didn't like it.,2024-10-07T15:07:42.748967
JfPDBd3l,181,AqEOfqVJ,4,It was okay.,2024-10-07T15:07:42.748967
iyHJnjbS,188,qjqltloQ,13,It was okay.,2024-10-07T15:07:42.748967
mXGoWMJZ,247,h4gW1cYv,13,It was okay.,2024-10-07T15:07:42.748967
Fp7fAVJx,177,884vkYq1,8,It was okay.,2024-10-07T15:07:42.748967
vN2bp4Up,142,pGG9v2j6,15,I didn't like it.,2024-10-07T15:07:42.748967
XoLqJRrM,183,AgT3eDNk,8,I loved this course!,2024-10-07T15:07:42.748967
UJicNcfp,208,HJMunEW9,15,I loved this course!,2024-10-07T15:07:42.748967
1lDsnVvV,181,1mW1vomo,3,It was okay.,2024-10-07T15:07:42.748967
QpZWGIoZ,26,ILcsKgj4,9,I loved this course!,2024-10-07T15:07:42.749970
xPsFhcJB,127,rsnbAnu3,17,I loved this course!,2024-10-07T15:07:42.749970
8aEahnFF,194,o4mZeQ1h,4,I didn't like it.,2024-10-07T15:07:42.749970
JRSESQQ6,122,xWiCBsbO,5,It was okay.,2024-10-07T15:07:42.749970
9V4uMapS,24,I4VGXu6D,5,I loved this course!,2024-10-07T15:07:42.749970
DAFbUJwo,216,rL7RN9QV,6,It was okay.,2024-10-07T15:07:42.749970
ivo2gOa9,133,TLR7AhBx,17,I loved this course!,2024-10-07T15:07:42.749970
Ut75bgME,222,R6j7Z1PS,1,I loved this course!,2024-10-07T15:07:42.749970
eSrzgCAd,204,8geRUowE,3,I didn't like it.,2024-10-07T15:07:42.749970
SfxyliTQ,47,inliscQ6,14,It was okay.,2024-10-07T15:07:42.749970
dd33mnbg,250,Tek2i6KB,19,It was okay.,2024-10-07T15:07:42.749970
bTcvvQq2,199,YTu7aDZm,11,I didn't like it.,2024-10-07T15:07:42.749970
uPGTzvyE,62,vVU0D8SY,3,I loved this course!,2024-10-07T15:07:42.749970
Va6rZPPS,10,fApl4Mfp,11,I didn't like it.,2024-10-07T15:07:42.749970
TE6hFPZ9,268,mr84i5mc,12,I loved this course!,2024-10-07T15:07:42.749970
Ep4lphPJ,10,hGzYmHc6,14,I didn't like it.,2024-10-07T15:07:42.749970
vlTSIfmO,95,Bjxy1ocM,8,It was okay.,2024-10-07T15:07:42.749970
6lED88wG,267,F82kIRdZ,11,I loved this course!,2024-10-07T15:07:42.749970
XvpWrTpk,11,4Mc2wJZM,13,I didn't like it.,2024-10-07T15:07:42.749970
Fa2nB8Lv,223,db5NTan9,6,I loved this course!,2024-10-07T15:07:42.749970
dqulZk9M,9,jgxT7JlJ,18,It was okay.,2024-10-07T15:07:42.749970
9cPqUYIa,130,4idJcZ6j,16,I didn't like it.,2024-10-07T15:07:42.749970
0ShP234C,206,iCxtpTBy,13,I didn't like it.,2024-10-07T15:07:42.750967
jmN4xJ7f,109,bJVBjuze,5,It was okay.,2024-10-07T15:07:42.750967
6Wb1fA8q,1,iAqazcHs,12,I didn't like it.,2024-10-07T15:07:42.750967
O4WnzwOy,2,Solgtnjx,13,I loved this course!,2024-10-07T15:07:42.750967
d8pvzqeD,107,Jsd2ZjOC,11,I didn't like it.,2024-10-07T15:07:42.750967
tGkluRE3,82,X0AuB5vy,16,It was okay.,2024-10-07T15:07:42.750967
V9TxNwjh,47,BUGstudm,1,It was okay.,2024-10-07T15:07:42.750967
XFBDHOBJ,274,hsYpb0Rr,10,I loved this course!,2024-10-07T15:07:42.750967
v57tCpqG,176,7YGq8TvR,11,I didn't like it.,2024-10-07T15:07:42.750967
ucoHM8O6,266,RrQR5zfM,4,It was okay.,2024-10-07T15:07:42.750967
aUdYA86q,102,mOZGTGv1,9,I loved this course!,2024-10-07T15:07:42.750967
WWxSM4uk,145,SOspUiOX,15,It was okay.,2024-10-07T15:07:42.750967
lGdjRtk1,250,Bi861VQ9,11,I loved this course!,2024-10-07T15:07:42.750967
CvaUcObC,67,auzZXOBh,12,It was okay.,2024-10-07T15:07:42.750967
Vm1ZfGRh,215,h9HPcgJo,8,It was okay.,2024-10-07T15:07:42.750967
nXMQJ1pE,279,taKwhXX6,11,I loved this course!,2024-10-07T15:07:42.750967
QK8mdbPP,44,Ck20mS76,6,I loved this course!,2024-10-07T15:07:42.750967
O98M1hH8,161,g93hqQpi,15,I didn't like it.,2024-10-07T15:07:42.750967
0IT7Gpff,178,SajCX5y5,9,It was okay.,2024-10-07T15:07:42.750967
3wFe51Ss,43,0VBWYn4p,3,I didn't like it.,2024-10-07T15:07:42.750967
zcq1dzne,139,l0yPotpR,18,I loved this course!,2024-10-07T15:07:42.750967
Vz5cYDmx,120,ta452sDl,4,I didn't like it.,2024-10-07T15:07:42.750967
l67LrU7w,63,LA3btEC0,11,I loved this course!,2024-10-07T15:07:42.750967
nbCtYA2E,273,lRtkGRYE,17,It was okay.,2024-10-07T15:07:42.750967
jkoaaazW,282,YZsIR9XL,16,I didn't like it.,2024-10-07T15:07:42.751968
zeAIEjtr,55,aKW1QkYG,13,I loved this course!,2024-10-07T15:07:42.751968
kHiDDVE2,148,vHh3nrIS,17,I didn't like it.,2024-10-07T15:07:42.751968
SvLMO4nx,86,f9MfmUq0,16,It was okay.,2024-10-07T15:07:42.751968
wrxKJGts,76,QOABL8xh,3,I didn't like it.,2024-10-07T15:07:42.751968
dVGkKDib,191,7eJHeEsL,12,I loved this course!,2024-10-07T15:07:42.751968
EwSkxUlV,139,H18SqHbO,3,It was okay.,2024-10-07T15:07:42.751968
sxyIuyfg,246,8PZ5kV6z,16,I didn't like it.,2024-10-07T15:07:42.751968
0LSsfJs0,254,t94qUo5T,5,I didn't like it.,2024-10-07T15:07:42.751968
PqKhF25M,291,cChvd5pl,17,I didn't like it.,2024-10-07T15:07:42.751968
yoLZqqCt,117,5S6U02ZQ,4,I loved this course!,2024-10-07T15:07:42.751968
MOuylDHi,162,oj3QiNii,6,I loved this course!,2024-10-07T15:07:42.751968
piSADqlu,247,H1NF4c2v,18,I loved this course!,2024-10-07T15:07:42.751968
yTEGtK2B,245,lEiulp2z,14,I loved this course!,2024-10-07T15:07:42.751968
h0o0gCLZ,238,xWmBZ6zB,2,I loved this course!,2024-10-07T15:07:42.751968
FcCbyppm,294,NB52CrU6,13,It was okay.,2024-10-07T15:07:42.751968
NLx0bNEN,108,o68LXpKT,16,It was okay.,2024-10-07T15:07:42.751968
fTnYdrpi,63,hUthl3Qz,10,I loved this course!,2024-10-07T15:07:42.751968
SL9MiAth,154,4TuACqmR,14,I didn't like it.,2024-10-07T15:07:42.751968
60FVF1mT,216,hq5JHOyq,4,It was okay.,2024-10-07T15:07:42.752967
cdvq4D7o,47,0dNXrIQ4,12,I loved this course!,2024-10-07T15:07:42.752967
dAtVWusu,23,T33YqQ5H,17,I loved this course!,2024-10-07T15:07:42.752967
fWVHPj97,1,USKP2vA0,15,I didn't like it.,2024-10-07T15:07:42.752967
XR9tx3GU,100,B6mHV0Hu,3,I loved this course!,2024-10-07T15:07:42.752967
jnNYNFQY,25,ZpkFqht3,8,I loved this course!,2024-10-07T15:07:42.752967
VgVb2TaY,255,hmHiBDHx,2,It was okay.,2024-10-07T15:07:42.752967
BuJRTLrj,253,SzJErkEX,10,I didn't like it.,2024-10-07T15:07:42.752967
KopicdH9,152,9nOgJI9X,5,I didn't like it.,2024-10-07T15:07:42.752967
BIwNPrVU,253,mvqwAnlG,16,It was okay.,2024-10-07T15:07:42.752967
XTuL16Lw,96,MUwYHozk,6,I didn't like it.,2024-10-07T15:07:42.752967
M2m7khLv,139,mSZ0GZTZ,19,It was okay.,2024-10-07T15:07:42.752967
GG5btRnK,109,K1XGr8W4,15,It was okay.,2024-10-07T15:07:42.752967
mDLZG1C5,192,nk5kXE87,7,I didn't like it.,2024-10-07T15:07:42.752967
DuWXvm87,261,abi3BUCO,19,It was okay.,2024-10-07T15:07:42.752967
DqSGLaz9,172,tp2DwuuB,2,It was okay.,2024-10-07T15:07:42.752967
EttLApl7,175,e4omD1Lr,18,It was okay.,2024-10-07T15:07:42.752967
YlIZWIYk,178,AIYsOrJh,14,I didn't like it.,2024-10-07T15:07:42.752967
mvPiHOFR,37,ZdPb42qR,1,It was okay.,2024-10-07T15:07:42.752967
7V4sxGhA,298,82qb7Cel,1,I loved this course!,2024-10-07T15:07:42.752967
1gfgsT7U,181,8HiUgsp9,16,It was okay.,2024-10-07T15:07:42.752967
0ZGTscEB,142,gSLBMkjA,8,It was okay.,2024-10-07T15:07:42.752967
8RQGdA5w,4,XLRq3hjK,5,I loved this course!,2024-10-07T15:07:42.753967
BbvbCmyX,224,tYdXW0D4,20,I didn't like it.,2024-10-07T15:07:42.753967
fxsGa05o,52,j1zOnjsM,16,I didn't like it.,2024-10-07T15:07:42.753967
pzL1oOJA,234,mMHpHJ3Z,8,I didn't like it.,2024-10-07T15:07:42.753967
D8mG3zSC,292,ZUoEL90T,15,It was okay.,2024-10-07T15:07:42.753967
SYJDnlmQ,224,JWQBJKXo,11,It was okay.,2024-10-07T15:07:42.753967
VH60hTKV,242,pgvYGk3A,13,It was okay.,2024-10-07T15:07:42.753967
Z51EirDv,209,wI3mqvW1,6,It was okay.,2024-10-07T15:07:42.753967
nPSgbacM,104,kGoPJBXK,20,I didn't like it.,2024-10-07T15:07:42.753967
pY5ceviT,141,xabAFSZp,17,It was okay.,2024-10-07T15:07:42.753967
mo2ReBQr,33,S8mvaJ9B,13,I loved this course!,2024-10-07T15:07:42.753967
