enrollmentId,userId,courseId,enrolledAt,progress,completed,totalCount,completedCount,isQuizTaken,isParticipated,isFeedback
U9q1U0FC,138,14,2024-10-07T15:07:42.743967,86,False,14,5,False,False,True
B1g0LK0V,271,16,2024-10-07T15:07:42.743967,36,False,20,11,True,True,True
NtiZggBF,154,1,2024-10-07T15:07:42.743967,1,False,20,8,True,True,False
6ht0XOsX,158,11,2024-10-07T15:07:42.743967,53,False,17,11,False,True,True
tiZN1RWh,146,5,2024-10-07T15:07:42.743967,5,False,7,5,True,True,False
rqbqE1T8,272,5,2024-10-07T15:07:42.743967,89,False,8,2,False,True,True
8CimvsWz,279,6,2024-10-07T15:07:42.743967,12,False,17,7,True,False,True
DiZfqjfa,6,8,2024-10-07T15:07:42.743967,60,False,13,5,True,False,False
UwY9Nmfc,158,13,2024-10-07T15:07:42.743967,87,False,18,5,True,True,False
kOE6RJTY,227,17,2024-10-07T15:07:42.743967,84,False,20,18,True,False,True
LsFmDFYh,231,1,2024-10-07T15:07:42.743967,81,False,7,3,True,False,False
eW2bjMXa,110,1,2024-10-07T15:07:42.743967,82,False,14,13,False,False,True
Z2idX7zD,254,15,2024-10-07T15:07:42.743967,45,False,10,0,False,False,False
EMl6Vcpi,86,13,2024-10-07T15:07:42.743967,39,False,13,10,True,False,True
ZSVkdp7F,178,3,2024-10-07T15:07:42.743967,6,False,6,1,False,False,False
ueNkEBbC,129,6,2024-10-07T15:07:42.743967,1,False,14,2,True,True,True
aaTokOXf,61,18,2024-10-07T15:07:42.743967,45,False,13,0,True,False,False
6OTfo61b,15,9,2024-10-07T15:07:42.743967,0,False,20,1,False,True,False
eFEJjZqA,25,7,2024-10-07T15:07:42.744967,95,False,9,4,False,True,True
OZB9Vp5g,262,8,2024-10-07T15:07:42.744967,15,False,14,3,True,False,True
nQiy4jq6,95,19,2024-10-07T15:07:42.744967,30,False,8,6,False,False,True
ACtscF6M,236,5,2024-10-07T15:07:42.744967,13,False,17,12,True,True,True
0KXzvtur,112,11,2024-10-07T15:07:42.744967,47,False,16,11,True,True,False
LchouYm0,73,15,2024-10-07T15:07:42.744967,41,False,16,13,True,True,True
PYFearoN,241,19,2024-10-07T15:07:42.744967,86,False,16,12,False,False,False
jN7QCsnv,24,9,2024-10-07T15:07:42.744967,58,False,19,0,True,False,False
vLiUzyFY,279,13,2024-10-07T15:07:42.744967,68,False,20,5,False,True,False
fP1PehWp,163,14,2024-10-07T15:07:42.744967,35,False,9,6,False,False,False
H86ICLIT,187,14,2024-10-07T15:07:42.744967,50,False,5,4,False,False,True
SMfBsxxM,268,10,2024-10-07T15:07:42.744967,73,False,11,9,False,False,True
r2rRHNw4,288,14,2024-10-07T15:07:42.744967,11,False,10,0,True,False,False
TtFzTKgQ,126,1,2024-10-07T15:07:42.744967,80,False,20,13,False,False,True
DLpQRIiY,217,16,2024-10-07T15:07:42.744967,81,False,8,7,True,False,False
IpdEsyye,61,20,2024-10-07T15:07:42.744967,50,False,13,4,True,True,False
9LQAVkk2,158,3,2024-10-07T15:07:42.744967,74,False,11,1,True,True,True
NVpp6Ufg,89,13,2024-10-07T15:07:42.744967,40,False,12,6,False,True,False
1igZkOBW,214,3,2024-10-07T15:07:42.744967,38,False,20,12,True,False,True
3qZ9ovMC,41,14,2024-10-07T15:07:42.744967,21,False,17,2,True,True,True
Z19MTqaI,94,6,2024-10-07T15:07:42.744967,100,True,20,20,False,True,False
PnXJrGBH,110,15,2024-10-07T15:07:42.744967,27,False,7,0,True,True,True
M1fdz0jG,5,12,2024-10-07T15:07:42.744967,69,False,16,4,False,True,True
pmQKZyUj,96,11,2024-10-07T15:07:42.744967,54,False,16,4,False,False,False
uy9eRXFL,139,14,2024-10-07T15:07:42.744967,80,False,7,6,False,True,True
iBKL4hKh,61,16,2024-10-07T15:07:42.744967,87,False,18,6,False,True,True
qt96Llkn,165,9,2024-10-07T15:07:42.744967,51,False,7,4,False,False,True
gBCXr2ZU,84,2,2024-10-07T15:07:42.744967,30,False,13,3,True,True,True
Dy2oDVni,78,9,2024-10-07T15:07:42.744967,58,False,18,5,False,True,False
51vpEANP,144,3,2024-10-07T15:07:42.744967,15,False,5,3,True,True,False
Ob6Jqlc8,145,16,2024-10-07T15:07:42.744967,88,False,10,5,False,False,False
D4YTvKed,110,20,2024-10-07T15:07:42.744967,59,False,13,11,True,True,False
m7rrXhvB,188,3,2024-10-07T15:07:42.744967,95,False,17,0,True,False,False
Td1JEkDE,5,7,2024-10-07T15:07:42.744967,77,False,17,3,True,True,False
vzv7nTGR,174,3,2024-10-07T15:07:42.744967,70,False,15,9,False,True,False
GpPQNfiy,265,3,2024-10-07T15:07:42.744967,31,False,13,4,True,False,True
ichbUnYi,45,8,2024-10-07T15:07:42.744967,37,False,13,8,False,True,True
mYyLjCeU,51,11,2024-10-07T15:07:42.744967,69,False,10,4,True,True,True
LKQurMrm,246,1,2024-10-07T15:07:42.744967,26,False,13,10,False,True,True
Huou0Nq7,15,19,2024-10-07T15:07:42.744967,63,False,17,12,False,True,False
S9b5iQPo,75,20,2024-10-07T15:07:42.744967,45,False,11,6,False,True,True
uUpI9Gie,204,17,2024-10-07T15:07:42.744967,55,False,15,12,False,True,True
mDByQ3B1,85,18,2024-10-07T15:07:42.745967,73,False,6,2,True,False,False
fyp0XlrD,264,7,2024-10-07T15:07:42.745967,7,False,7,6,True,True,False
oRIfAtO2,297,15,2024-10-07T15:07:42.745967,63,False,15,3,False,False,False
Y1ZNll0U,161,7,2024-10-07T15:07:42.745967,3,False,20,6,False,True,False
352o3yPm,2,12,2024-10-07T15:07:42.745967,60,False,17,10,False,True,False
Wt36G87r,49,14,2024-10-07T15:07:42.745967,69,False,12,4,False,False,False
Hqhe83u3,299,17,2024-10-07T15:07:42.745967,70,False,12,7,True,True,True
OsoBsrA5,29,20,2024-10-07T15:07:42.745967,1,False,13,6,False,False,True
PF95Ksdx,151,5,2024-10-07T15:07:42.745967,36,False,12,11,False,True,True
fTioxYfB,21,6,2024-10-07T15:07:42.745967,100,True,18,18,True,False,False
WjvwmZMf,33,7,2024-10-07T15:07:42.745967,59,False,10,1,False,True,True
Ef03oLSX,60,10,2024-10-07T15:07:42.745967,87,False,15,10,False,False,True
P8cdo2af,156,11,2024-10-07T15:07:42.745967,28,False,7,6,False,False,True
0e8W5GKI,287,5,2024-10-07T15:07:42.745967,22,False,18,9,True,False,True
Ei6zXYW9,80,7,2024-10-07T15:07:42.745967,52,False,9,5,False,False,False
zcGThGBZ,72,18,2024-10-07T15:07:42.745967,81,False,5,2,True,True,True
FNdacRGU,124,20,2024-10-07T15:07:42.745967,77,False,17,15,False,False,False
NsO76VWu,82,17,2024-10-07T15:07:42.745967,2,False,13,4,True,True,False
1g4hQSls,212,20,2024-10-07T15:07:42.745967,86,False,7,1,False,True,False
LL9P3UNd,114,10,2024-10-07T15:07:42.745967,93,False,15,7,True,False,False
iJqzLo3q,223,15,2024-10-07T15:07:42.745967,17,False,19,4,True,True,False
LIQXA3c6,21,10,2024-10-07T15:07:42.745967,17,False,7,3,False,True,True
vfxxUmm0,1,19,2024-10-07T15:07:42.745967,43,False,14,12,False,True,False
5mSQmS27,82,4,2024-10-07T15:07:42.745967,100,True,10,10,False,True,False
8HpdIBiz,107,19,2024-10-07T15:07:42.745967,93,False,9,3,True,True,True
q65BSkY3,193,16,2024-10-07T15:07:42.745967,62,False,16,15,False,True,False
tmuUbBZr,289,12,2024-10-07T15:07:42.745967,16,False,9,4,True,False,True
4TBLvCBn,79,19,2024-10-07T15:07:42.745967,91,False,10,1,False,False,True
AFouYDku,236,9,2024-10-07T15:07:42.745967,82,False,15,7,False,False,True
VqeimZVm,113,18,2024-10-07T15:07:42.745967,13,False,18,11,True,True,True
EHSwPfI0,74,6,2024-10-07T15:07:42.745967,28,False,19,12,True,True,True
LLkpiFGZ,210,4,2024-10-07T15:07:42.745967,53,False,14,9,False,False,True
KsYsTv2a,223,14,2024-10-07T15:07:42.745967,68,False,11,4,True,False,True
VNVIRbo9,181,6,2024-10-07T15:07:42.745967,18,False,13,12,True,True,True
kSNV2ggO,142,5,2024-10-07T15:07:42.745967,91,False,20,7,False,False,False
tTh30d4H,62,12,2024-10-07T15:07:42.745967,75,False,20,1,False,False,True
borec8So,43,14,2024-10-07T15:07:42.745967,13,False,6,2,True,False,True
LhYJ5IxC,165,6,2024-10-07T15:07:42.745967,94,False,16,13,False,False,False
iwb3RNR1,171,3,2024-10-07T15:07:42.745967,51,False,7,5,True,True,False
Q72b9gZT,246,10,2024-10-07T15:07:42.745967,41,False,12,5,True,False,False
QTlpazPT,35,6,2024-10-07T15:07:42.745967,52,False,7,6,True,True,True
Gl1Ynbbb,186,4,2024-10-07T15:07:42.745967,71,False,5,2,False,True,False
FgYzAHIT,186,13,2024-10-07T15:07:42.746967,69,False,12,1,False,True,False
JPe9SSm5,44,11,2024-10-07T15:07:42.746967,40,False,5,1,False,False,False
bzQhXfj1,23,11,2024-10-07T15:07:42.746967,16,False,20,15,False,True,False
n19u40w0,189,17,2024-10-07T15:07:42.746967,38,False,6,0,True,False,False
Zd8gQlRl,248,16,2024-10-07T15:07:42.746967,88,False,15,10,False,False,False
LmobF8Mc,37,2,2024-10-07T15:07:42.746967,44,False,5,0,True,True,True
lnIzhyX9,156,18,2024-10-07T15:07:42.746967,97,False,10,3,False,False,False
WgFZFvh6,83,11,2024-10-07T15:07:42.746967,5,False,11,9,True,True,True
z161S213,251,16,2024-10-07T15:07:42.746967,5,False,10,1,True,True,False
U1dIUIMK,96,5,2024-10-07T15:07:42.746967,49,False,17,16,True,True,True
mu1Rw6HJ,106,16,2024-10-07T15:07:42.746967,15,False,20,17,True,False,True
yojI5hAu,266,6,2024-10-07T15:07:42.746967,94,False,18,3,True,True,True
R588ASjp,207,8,2024-10-07T15:07:42.746967,13,False,19,11,True,True,True
AkBJTzh2,201,7,2024-10-07T15:07:42.746967,68,False,9,5,False,True,True
LtjLBj9k,285,11,2024-10-07T15:07:42.746967,43,False,14,7,True,True,False
2Gll1AJu,253,13,2024-10-07T15:07:42.746967,59,False,19,13,False,True,True
pvJcL4QA,135,4,2024-10-07T15:07:42.746967,95,False,14,13,True,False,True
yh9eLGxx,68,15,2024-10-07T15:07:42.746967,50,False,11,6,True,False,False
3amgYTjL,88,9,2024-10-07T15:07:42.746967,58,False,8,5,False,False,False
JeluwU1P,180,5,2024-10-07T15:07:42.746967,93,False,6,5,True,False,True
sGR0p4lT,162,14,2024-10-07T15:07:42.746967,54,False,18,10,True,False,True
Jq7ca3tk,263,20,2024-10-07T15:07:42.746967,61,False,9,2,True,False,False
JWoA9H5D,170,16,2024-10-07T15:07:42.746967,8,False,9,5,True,False,False
zIgfixeT,156,13,2024-10-07T15:07:42.746967,48,False,8,5,False,False,False
tJaLzmNp,104,11,2024-10-07T15:07:42.746967,87,False,20,3,False,False,False
ba2z1ohk,239,11,2024-10-07T15:07:42.746967,19,False,10,2,False,True,True
fKIgIJIG,288,10,2024-10-07T15:07:42.746967,54,False,19,11,False,False,False
