quizId,userId,courseId,enrollmentId,totalScore,obtainedScore,date
lnKGVxay,25,20,iZBXeYKH,100,85,2024-10-07
TFJwKWhr,254,17,LFEov1uD,100,24,2024-10-07
0LMUyz30,70,1,ORS4Ma3E,100,45,2024-10-07
4TUF1upk,221,6,xIEMYA9I,100,25,2024-10-07
Ib2Hg7xQ,40,10,qUwnb5rQ,100,77,2024-10-07
WLgmwLQj,237,6,dpUUH9jL,100,43,2024-10-07
ssBYC6E1,178,8,eqEwqwof,100,44,2024-10-07
D9UmTvH6,71,4,3jrlA38U,100,95,2024-10-07
6zXuhCAX,93,12,nzY4qLuL,100,22,2024-10-07
kuJnBmT7,298,9,zx7YA5RX,100,4,2024-10-07
jpMQWNRi,267,18,eHqCjqcE,100,38,2024-10-07
ZTaoAQlL,43,18,ItfMggv4,100,93,2024-10-07
N8ToEZFs,39,10,XCDx33NA,100,100,2024-10-07
ZahYh2fk,153,7,hLoZlkIU,100,47,2024-10-07
FgNaFtMc,124,16,rx3zuKCb,100,86,2024-10-07
6ExXokLw,288,1,n8cTROOT,100,95,2024-10-07
Zj3cyrsK,14,7,RKOhS4Yq,100,1,2024-10-07
y5UvxSjb,13,17,auMaT1uW,100,56,2024-10-07
Aa11DQbf,25,1,UTw2BgnR,100,0,2024-10-07
bGfOX9dW,194,11,U53Ivlv1,100,0,2024-10-07
aYjc4f4N,283,13,91WomRBZ,100,82,2024-10-07
iD6xrq0X,28,1,lTPkFMAi,100,75,2024-10-07
COQjueuI,234,18,p5nCHboI,100,13,2024-10-07
uZd3a4Vy,34,12,Q3Vcu0wx,100,0,2024-10-07
mCGV6uzq,14,6,PLPBqBs9,100,4,2024-10-07
XEzjjWWU,193,4,bWtmAjMv,100,99,2024-10-07
a0KKPFUu,170,13,LN5GbP1c,100,83,2024-10-07
sSyoyM32,106,1,c7iSRHre,100,100,2024-10-07
R09XdMdn,184,10,0OMKjNvN,100,97,2024-10-07
hdSR9zlv,292,1,zgXBId57,100,17,2024-10-07
dtIFActs,290,6,pOh35SSp,100,52,2024-10-07
z7Zdmkzb,142,11,dOg365Sg,100,43,2024-10-07
znQ5LDyr,224,7,cP9MCYQk,100,0,2024-10-07
cKK8mwWZ,293,8,CJCrmagG,100,82,2024-10-07
CdvRKM3L,194,17,zxxQzJqg,100,54,2024-10-07
0m6Fhjwi,276,3,UjFypMSE,100,34,2024-10-07
PVuVoLQS,203,8,d098OEhv,100,50,2024-10-07
o1L0wTZz,280,7,LSm11P22,100,47,2024-10-07
KY99WZ8K,184,3,81INQoKZ,100,38,2024-10-07
k1aTspM9,130,11,l5vOBTDc,100,15,2024-10-07
gXlZwiVA,60,19,Opz880iU,100,4,2024-10-07
BwNSM7Go,69,10,uarbjfSf,100,17,2024-10-07
y9ipeBds,8,16,JY36gxSp,100,9,2024-10-07
MwhQB9tX,244,17,39n39eON,100,67,2024-10-07
rieBQ4dC,234,6,XtiKmjyd,100,37,2024-10-07
g0bcopqr,271,3,nYRIKv5X,100,20,2024-10-07
vLyDqBtQ,218,12,b62pKfoP,100,74,2024-10-07
HiGVknXl,99,14,gAgAYlN1,100,96,2024-10-07
6qSIUYpF,105,7,RZ7cihJx,100,0,2024-10-07
jx30Jl2W,293,19,k6r2vkTu,100,58,2024-10-07
JjLbVKZi,263,1,Kxm71aPo,100,100,2024-10-07
BoWr40AT,96,3,X4WGuGe4,100,13,2024-10-07
o9vPyBSP,211,18,PQIxGyXd,100,45,2024-10-07
82huQKYF,161,8,WGQnQqW3,100,82,2024-10-07
LCbh3jDL,108,3,FVHrgS9t,100,72,2024-10-07
WPK9HkuY,248,11,JxWHzqff,100,3,2024-10-07
o1HGwq2p,54,19,Xt1hrtxS,100,25,2024-10-07
3tIaIBnb,127,5,HbcNU0sR,100,57,2024-10-07
7AZBZYh6,93,9,Ujf78cHa,100,5,2024-10-07
bztTyirk,216,14,5WHdYQhO,100,36,2024-10-07
PuGnBddX,250,4,lBCK3yIy,100,40,2024-10-07
vIz5AooX,53,9,3H1cH5Ad,100,32,2024-10-07
XUZEWbGm,235,16,oFSVyrnz,100,88,2024-10-07
KdC2nmUh,129,4,IbSq8LYM,100,31,2024-10-07
3jxqUdEA,103,2,OC1YAALa,100,36,2024-10-07
3BCYIi3F,122,2,VJxdwMSU,100,27,2024-10-07
zbxowcFT,104,9,VoX521Jk,100,95,2024-10-07
Lkn8s1AI,271,16,B1g0LK0V,100,36,2024-10-07
necEpFdB,154,1,NtiZggBF,100,6,2024-10-07
nLJXZEZ5,146,5,tiZN1RWh,100,7,2024-10-07
9ML5FXDD,279,6,8CimvsWz,100,16,2024-10-07
oI38KBM7,6,8,DiZfqjfa,100,56,2024-10-07
dzJjwiZB,158,13,UwY9Nmfc,100,90,2024-10-07
t3GiuufO,227,17,kOE6RJTY,100,79,2024-10-07
uDYtHgha,231,1,LsFmDFYh,100,78,2024-10-07
9cWFXU85,86,13,EMl6Vcpi,100,35,2024-10-07
72XW4bq2,129,6,ueNkEBbC,100,1,2024-10-07
cZOi980g,61,18,aaTokOXf,100,47,2024-10-07
GP9kdOPN,262,8,OZB9Vp5g,100,17,2024-10-07
ZgvW9ipI,236,5,ACtscF6M,100,14,2024-10-07
4VsiNki2,112,11,0KXzvtur,100,50,2024-10-07
1TJlymQu,73,15,LchouYm0,100,43,2024-10-07
m8R5HPYv,24,9,jN7QCsnv,100,59,2024-10-07
9m90Hg6a,288,14,r2rRHNw4,100,12,2024-10-07
rUOU6aYW,217,16,DLpQRIiY,100,79,2024-10-07
HxUaia5j,61,20,IpdEsyye,100,55,2024-10-07
5he0brpl,158,3,9LQAVkk2,100,74,2024-10-07
tPhCRfoU,214,3,1igZkOBW,100,43,2024-10-07
8XPMVhdH,41,14,3qZ9ovMC,100,20,2024-10-07
uDgJ9Ot2,110,15,PnXJrGBH,100,27,2024-10-07
ZkXBhYPD,84,2,gBCXr2ZU,100,32,2024-10-07
xJu6pCkd,144,3,51vpEANP,100,11,2024-10-07
ghKRiZgl,110,20,D4YTvKed,100,60,2024-10-07
sgUIlv9S,188,3,m7rrXhvB,100,100,2024-10-07
XsR1fQRM,5,7,Td1JEkDE,100,72,2024-10-07
FexfKwVO,265,3,GpPQNfiy,100,36,2024-10-07
pLXsS6CA,51,11,mYyLjCeU,100,70,2024-10-07
yr5D8Cxd,85,18,mDByQ3B1,100,74,2024-10-07
3bZJV7CW,264,7,fyp0XlrD,100,2,2024-10-07
vJPUtamg,299,17,Hqhe83u3,100,69,2024-10-07
fBgIhvhD,21,6,fTioxYfB,100,100,2024-10-07
Vctnq6pC,287,5,0e8W5GKI,100,17,2024-10-07
nCYF7pBp,72,18,zcGThGBZ,100,81,2024-10-07
2EYl8mIw,82,17,NsO76VWu,100,4,2024-10-07
HZMhj6Np,114,10,LL9P3UNd,100,90,2024-10-07
phmNQSUP,223,15,iJqzLo3q,100,12,2024-10-07
jA2qSwaH,107,19,8HpdIBiz,100,92,2024-10-07
ulyvdSf0,289,12,tmuUbBZr,100,19,2024-10-07
UYvAZ2bo,113,18,VqeimZVm,100,10,2024-10-07
jzaqFIjD,74,6,EHSwPfI0,100,27,2024-10-07
CzaseLYU,223,14,KsYsTv2a,100,65,2024-10-07
vga4jcMR,181,6,VNVIRbo9,100,13,2024-10-07
cD1bb16B,43,14,borec8So,100,9,2024-10-07
Dr8ZfmCO,171,3,iwb3RNR1,100,56,2024-10-07
qQPPah9A,246,10,Q72b9gZT,100,40,2024-10-07
5Bc7I6EF,35,6,QTlpazPT,100,57,2024-10-07
rmJHLfvY,189,17,n19u40w0,100,40,2024-10-07
oqp6fpns,37,2,LmobF8Mc,100,41,2024-10-07
YFZhL0Ec,83,11,WgFZFvh6,100,6,2024-10-07
9HbqWtkW,251,16,z161S213,100,10,2024-10-07
1eSU39ot,96,5,U1dIUIMK,100,44,2024-10-07
gs0oeuxG,106,16,mu1Rw6HJ,100,17,2024-10-07
oaYdwUF6,266,6,yojI5hAu,100,99,2024-10-07
GrAnrBMW,207,8,R588ASjp,100,9,2024-10-07
r4JIoWzD,285,11,LtjLBj9k,100,43,2024-10-07
q8jTclfT,135,4,pvJcL4QA,100,97,2024-10-07
Ro9msp5a,68,15,yh9eLGxx,100,47,2024-10-07
RayHh84X,180,5,JeluwU1P,100,96,2024-10-07
FSZTLDxv,162,14,sGR0p4lT,100,55,2024-10-07
aMbYnRmH,263,20,Jq7ca3tk,100,58,2024-10-07
Bxs7uip4,170,16,JWoA9H5D,100,12,2024-10-07
3SZ4imfo,217,13,Cwvdw6PK,100,62,2024-10-07
Q5kTfRvf,177,7,SdhZS04c,100,42,2024-10-07
2DeWgjrf,72,20,30ARGtVP,100,64,2024-10-07
7RxsSH5N,183,16,DKqUxXSV,100,99,2024-10-07
GMhGUPQO,268,16,lHAdZmNd,100,68,2024-10-07
MD7hRRad,2,6,Zl47G8of,100,75,2024-10-07
SZZQ05XL,202,4,d2OFaPNA,100,30,2024-10-07
mXjO5mHx,203,15,iWq8Lnqg,100,12,2024-10-07
ixBuc0Ac,22,17,wkloLP9N,100,100,2024-10-07
V92rga8T,171,10,MoUX5AKg,100,34,2024-10-07
fyBevBF2,276,16,nRMNwOz3,100,40,2024-10-07
obGQ14MW,70,9,gQxtXgQc,100,88,2024-10-07
PKjesFWK,97,12,XFSn8Kbw,100,31,2024-10-07
jMYmcgoA,207,16,QJJOTfBm,100,13,2024-10-07
49ltTuNM,300,20,igIbjg0Z,100,46,2024-10-07
zMyB8Nyb,79,3,WUfTfMTc,100,90,2024-10-07
jVHyJ1x3,131,1,KZKZs7Kh,100,60,2024-10-07
j1aPxsqW,262,6,T1L5ut6b,100,34,2024-10-07
Akq9YWue,15,7,i0MIdgqc,100,98,2024-10-07
W5JQ1OMw,59,5,19504c9X,100,7,2024-10-07
hbFUHkqI,272,7,mPzSUqXi,100,24,2024-10-07
WKYMRNqp,58,11,cEsmDnLf,100,99,2024-10-07
KYxfkP7k,75,3,XGyvQ8zg,100,42,2024-10-07
H9nj4Kra,185,4,wceDWLv4,100,0,2024-10-07
Zo2cUUi7,206,19,WVxdow8f,100,55,2024-10-07
O5G9FWzY,85,5,ll0Pj3sB,100,16,2024-10-07
HgFnMlkx,115,12,8hsPqTcZ,100,4,2024-10-07
AbDo2sjg,226,10,UaD998NI,100,13,2024-10-07
Bfc1JqRr,153,11,4vuvCPfn,100,81,2024-10-07
42lEbki3,224,1,V5AvVzws,100,26,2024-10-07
GJlvJJod,4,9,G4joXiZs,100,37,2024-10-07
u5tTFPri,128,4,Iy243OD1,100,62,2024-10-07
jmGi2O4K,5,10,eyvrksyg,100,81,2024-10-07
BlPlHzfe,25,3,TD2h5l54,100,15,2024-10-07
KnaADz9g,69,9,O0pV6gRU,100,79,2024-10-07
77giiuA0,50,20,78kLX8pY,100,5,2024-10-07
LA5zwe11,117,18,GJ1GF6Sr,100,86,2024-10-07
L2VScaEt,118,14,mrjuUtuf,100,38,2024-10-07
TxXRIYL6,187,3,Us2b9svt,100,63,2024-10-07
DxTHynoL,284,6,CufX118R,100,73,2024-10-07
n78pNdhY,72,3,Ho9sGDg1,100,92,2024-10-07
DOm68Yqq,60,13,nYeuG2BX,100,67,2024-10-07
iDS5hTek,48,15,VrzLHEou,100,92,2024-10-07
QyH9UsXu,230,14,rOjE6pp0,100,39,2024-10-07
7yVfs7TS,121,11,il9vXKIJ,100,88,2024-10-07
1SgkMP8z,188,13,qjqltloQ,100,4,2024-10-07
49tU5NR3,205,3,ZoKB4eoO,100,97,2024-10-07
3rUGrRTR,177,8,884vkYq1,100,51,2024-10-07
PvaOcwBa,249,11,A6k4jTWJ,100,71,2024-10-07
dhcVkL4m,181,3,1mW1vomo,100,56,2024-10-07
yOw55Tah,127,17,rsnbAnu3,100,2,2024-10-07
hHPzBMHC,122,5,xWiCBsbO,100,87,2024-10-07
lpjSNjJ1,133,17,TLR7AhBx,100,14,2024-10-07
qoNGo9PX,104,19,ZSTLuNdj,100,72,2024-10-07
qVqZnFHy,146,16,5YGtU3pu,100,46,2024-10-07
pDKTa0iV,47,14,inliscQ6,100,70,2024-10-07
rxEN7wuG,250,19,Tek2i6KB,100,0,2024-10-07
USgIJ8Fv,62,3,vVU0D8SY,100,53,2024-10-07
Knh2FOZy,26,13,vwCPDCqP,100,100,2024-10-07
k2XadgFV,70,8,xeerBpeI,100,15,2024-10-07
fXbWHuA8,10,14,hGzYmHc6,100,11,2024-10-07
6EkZmZ6z,290,18,NvVBYLTU,100,24,2024-10-07
FeCJktg0,50,8,CJBsiXbS,100,81,2024-10-07
ALIv2Tem,44,9,OeR3NP3N,100,31,2024-10-07
otZEYPPv,45,11,5zjMXulc,100,32,2024-10-07
8VmcsX4P,292,2,ut7SdmJH,100,31,2024-10-07
GNrWnmAb,223,6,db5NTan9,100,86,2024-10-07
YzWMITYH,130,16,4idJcZ6j,100,14,2024-10-07
IpmzNTOO,206,13,iCxtpTBy,100,8,2024-10-07
fKi0w2TB,109,5,bJVBjuze,100,57,2024-10-07
D9w4ySMM,1,12,iAqazcHs,100,53,2024-10-07
0zcHMPoD,223,7,oaOMjIKj,100,69,2024-10-07
W4cjMUaW,2,13,Solgtnjx,100,60,2024-10-07
fK7x0dyn,107,11,Jsd2ZjOC,100,32,2024-10-07
gvqxQ3aQ,142,12,lvyMbVax,100,21,2024-10-07
dCwkonEP,47,1,BUGstudm,100,55,2024-10-07
DOBnnJjH,237,18,9dN85CJU,100,79,2024-10-07
ez3gQL6W,274,10,hsYpb0Rr,100,81,2024-10-07
VV8u9UIm,176,11,7YGq8TvR,100,85,2024-10-07
RBSewumu,266,4,RrQR5zfM,100,80,2024-10-07
aggXti7C,51,3,RMD5sbTt,100,14,2024-10-07
1EaIop4R,145,15,SOspUiOX,100,26,2024-10-07
fKTIHyKG,38,11,TpbCAhOF,100,67,2024-10-07
R8DWJPn7,250,11,Bi861VQ9,100,80,2024-10-07
1pjFQemf,67,10,Vkuoq2P4,100,0,2024-10-07
Mpc8PA1I,82,1,xjI3UV6r,100,13,2024-10-07
HeI68fW4,215,8,h9HPcgJo,100,84,2024-10-07
PjL70vUi,279,11,taKwhXX6,100,58,2024-10-07
vmHHqdsp,44,6,Ck20mS76,100,95,2024-10-07
bXGcUxRA,161,15,g93hqQpi,100,52,2024-10-07
ZP1pn7Bw,178,9,SajCX5y5,100,50,2024-10-07
8I4bRnRO,259,3,tQIUOqKI,100,95,2024-10-07
w58e4xWc,35,10,QrkiXinS,100,0,2024-10-07
Z2RDzMxb,49,8,Yn98uDM4,100,42,2024-10-07
4QLkFOis,63,11,LA3btEC0,100,21,2024-10-07
mtJBZQNr,59,8,pi6NBKSo,100,59,2024-10-07
Y4xEZNvH,244,19,tAhGKbW1,100,48,2024-10-07
9MbfeBdy,284,4,lddcQPts,100,37,2024-10-07
TxdNlgnQ,282,16,YZsIR9XL,100,22,2024-10-07
zhr5yTcc,248,12,y7X9oAWp,100,31,2024-10-07
VwC6eEGV,86,16,f9MfmUq0,100,3,2024-10-07
GkUf3LWC,158,20,UNciiyee,100,9,2024-10-07
7qGrbYpe,191,12,7eJHeEsL,100,87,2024-10-07
lZTzDbNR,17,16,ksmlNTGR,100,80,2024-10-07
JOSFhJr1,169,20,7fnYbjni,100,39,2024-10-07
Ogmtze94,246,16,8PZ5kV6z,100,70,2024-10-07
2zUvOfiE,254,5,t94qUo5T,100,96,2024-10-07
kgXvFWsB,291,17,cChvd5pl,100,36,2024-10-07
G2vc4MN2,300,1,lqdazx0a,100,57,2024-10-07
JW04fNd3,117,4,5S6U02ZQ,100,19,2024-10-07
SQbxnisw,247,18,H1NF4c2v,100,60,2024-10-07
DdA07Gyj,81,4,Y7tucwg7,100,34,2024-10-07
zjLXUtPZ,154,6,hbFPA9qh,100,15,2024-10-07
eC2RJkFk,265,11,r4c2hcaA,100,85,2024-10-07
KWSQfdYa,245,14,lEiulp2z,100,26,2024-10-07
N8ODZam0,108,16,o68LXpKT,100,33,2024-10-07
Y9kB79e3,63,10,hUthl3Qz,100,63,2024-10-07
V03Q4zZ4,199,10,n8glNgMb,100,90,2024-10-07
2Z18WZPZ,249,18,VE3ixiHP,100,33,2024-10-07
1Ux5NrX9,1,15,USKP2vA0,100,68,2024-10-07
IKfKSj29,100,3,B6mHV0Hu,100,45,2024-10-07
egrvAmSv,68,8,XW6mxy8f,100,48,2024-10-07
XrjWJ91a,157,2,84HVq4W9,100,97,2024-10-07
ys0AwPkK,152,5,9nOgJI9X,100,50,2024-10-07
vIyzN3WP,253,16,mvqwAnlG,100,75,2024-10-07
Au6MkKqa,96,6,MUwYHozk,100,52,2024-10-07
jsyMqsg2,139,19,mSZ0GZTZ,100,69,2024-10-07
itwpg1gC,178,18,kn6Lijpf,100,80,2024-10-07
Rg5luPhS,175,19,sjx4Y2Pn,100,19,2024-10-07
xnwGrLUL,109,15,K1XGr8W4,100,41,2024-10-07
rXJROOzO,192,7,nk5kXE87,100,60,2024-10-07
xNBiwQJe,261,19,abi3BUCO,100,0,2024-10-07
SIFA076Z,172,2,tp2DwuuB,100,36,2024-10-07
pu0vI5Jm,175,18,e4omD1Lr,100,76,2024-10-07
OANzdKxg,48,7,iyDi7m4U,100,31,2024-10-07
9sd76Kzc,298,1,82qb7Cel,100,17,2024-10-07
6zBrEA0R,181,16,8HiUgsp9,100,37,2024-10-07
pbKn8FVU,251,7,oNOluXYK,100,26,2024-10-07
tm29ZGUS,224,20,tYdXW0D4,100,74,2024-10-07
YuO7qmDh,224,11,JWQBJKXo,100,76,2024-10-07
0i7UoE2I,242,13,pgvYGk3A,100,60,2024-10-07
A41ZZZkD,246,19,ds7LjCLi,100,25,2024-10-07
fa3HIR6X,146,18,Pa5bx3Wi,100,74,2024-10-07
ekthbZAF,104,20,kGoPJBXK,100,54,2024-10-07
2zBCKd8i,81,17,YUpSca3I,100,14,2024-10-07
tBzpWSjb,207,19,XwY1DCm7,100,45,2024-10-07
AmsnMfyo,146,10,hlVWrFQv,100,23,2024-10-07
xuXTnbd2,224,14,5GZoTAOL,100,91,2024-10-07
4vyV7WCr,280,19,X25MkJiM,100,20,2024-10-07
8xSaPHHA,182,14,qgPgNCmu,100,5,2024-10-07
SfxO2cTk,41,8,6ih6KqVM,100,80,2024-10-07
8wQgPjuD,275,4,tf7EMXAP,100,6,2024-10-07
SYTEWrXw,57,13,m2qNp4ic,100,31,2024-10-07
GiyWYEIz,38,8,exVjRVlD,100,42,2024-10-07
WVTYwqdA,233,6,T6UlPepJ,100,98,2024-10-07
HvvFMkKH,114,13,AKaLxUi3,100,58,2024-10-07
XZgHBWEH,35,12,X9E8veu1,100,87,2024-10-07
AdTRHv1y,68,18,shhk154L,100,31,2024-10-07
G0Ip0Fab,242,14,TaSRcdcG,100,81,2024-10-07
4YooJ27A,269,11,j53LiI6l,100,81,2024-10-07
PNTxgX1Z,31,17,5llRkzB0,100,59,2024-10-07
JVHSez6f,273,14,Z12bgn9z,100,41,2024-10-07
f0oF0ODn,37,17,21KITRjQ,100,48,2024-10-07
QeQriq2I,157,11,2iMilOXp,100,53,2024-10-07
1LGBqEFz,212,13,lvlM4Qhl,100,89,2024-10-07
cN6do6ng,183,2,SMH087Cy,100,100,2024-10-07
It9Pkq5M,116,14,SOWPQCwz,100,75,2024-10-07
b9c30Ub5,165,19,5HUhg6CF,100,68,2024-10-07
HyOb6HSr,169,7,qJtnSlyH,100,36,2024-10-07
WMlfRcpv,19,4,9QvTyLTU,100,75,2024-10-07
XcfCgBW2,85,8,5JwD5qmG,100,77,2024-10-07
HJ6RTh6h,130,4,kCHKRYhD,100,38,2024-10-07
ZPa70v2c,186,9,yanFgNv2,100,71,2024-10-07
cuFmJ1Ai,239,14,4MZe5VLT,100,79,2024-10-07
6eYVrqD5,215,4,lWa1C0VJ,100,0,2024-10-07
R4pupyoy,271,6,mQFHV3CE,100,70,2024-10-07
ADbtf8QV,38,14,klwncfzP,100,93,2024-10-07
iywqEjDi,229,12,m3GJ7pTp,100,47,2024-10-07
stei119S,81,2,gi0tPaSE,100,44,2024-10-07
go3dQ2hw,93,3,mGBakk5t,100,14,2024-10-07
R88i2wGq,295,15,PNMJ40W2,100,35,2024-10-07
myx1Sk9B,33,20,5AAtHZuL,100,56,2024-10-07
JqvZjAiE,184,13,hDCo8Y3r,100,2,2024-10-07
bm4gU96j,268,3,OawG6zrE,100,7,2024-10-07
W8PipkOn,297,10,QJBaOScC,100,62,2024-10-07
zLiIMKls,107,13,LdtZK6rR,100,19,2024-10-07
D1xbo3M9,294,20,3eQJZav0,100,58,2024-10-07
9Cl1I8Iw,13,4,7gZSikpf,100,85,2024-10-07
khV6ZfJX,21,20,jhpt7W53,100,94,2024-10-07
3R7WRifA,11,14,nByxDiyU,100,81,2024-10-07
R9Q0toYA,242,20,XhJtf5Ih,100,100,2024-10-07
UFYzzbOy,155,2,HErijm52,100,32,2024-10-07
S7iS56mj,210,15,yQgg0NSL,100,67,2024-10-07
skTtDWgH,246,5,JLY9VveF,100,52,2024-10-07
Y6oM8B2Y,224,3,XeYOM8vp,100,62,2024-10-07
LUylDLPL,245,8,BMpoM9zV,100,79,2024-10-07
RU2RwOGX,240,12,Dw9O3r6s,100,41,2024-10-07
hupBfVr0,151,1,NYuVkSxl,100,63,2024-10-07
6G0QfmMx,300,14,OJyrcgLf,100,27,2024-10-07
LXLJjt8G,80,13,1A5Dlcpi,100,62,2024-10-07
xrrtLKOO,291,19,Qs4I6ehF,100,62,2024-10-07
427ndrWh,44,3,YclSl2M7,100,35,2024-10-07
Y0Z5etae,177,13,M1NEpwiL,100,86,2024-10-07
dnTObEBQ,13,10,sLxfCS3v,100,26,2024-10-07
jc8u4smT,252,15,VHz1vrbe,100,23,2024-10-07
mTuWMB6j,217,6,QVc7edjD,100,39,2024-10-07
9BNq4eqz,112,4,fMkNowN2,100,41,2024-10-07
zefTilTE,239,15,subzBb3t,100,0,2024-10-07
5lKapJ9T,97,16,1s3x0Xao,100,7,2024-10-07
Y5YNzsGv,199,6,NxbiPAKM,100,90,2024-10-07
r8aekxr8,145,10,RovNzEMV,100,61,2024-10-07
Y8nRDyPe,121,10,OGDTSOBW,100,28,2024-10-07
IVr2FV4h,25,16,oBcsNdsN,100,60,2024-10-07
azStVmk0,76,1,eJ9yMmQx,100,29,2024-10-07
TAGXSlcZ,107,12,uvkLNFAw,100,49,2024-10-07
W3f5ntAX,213,4,eY3mKaKy,100,63,2024-10-07
3L6owGEd,202,10,2ZMyntor,100,72,2024-10-07
C9yUelYD,163,8,VF6yDVZY,100,57,2024-10-07
4epoCJcO,101,7,iriMqvpI,100,27,2024-10-07
ByHMXAEf,61,6,xesxoTCX,100,58,2024-10-07
3aE7vnmi,47,18,4wZBVxKe,100,34,2024-10-07
jCTBZ7qp,127,2,fHviShPJ,100,61,2024-10-07
NWcLllQd,31,3,y8Ssux4c,100,41,2024-10-07
ydQAuZ0z,48,13,NfP2jB2B,100,3,2024-10-07
0r9ULbN9,194,6,URUNap3P,100,74,2024-10-07
CZMtPaQt,27,20,acFsOEUf,100,44,2024-10-07
GETNEgAq,69,6,X4K8H5tG,100,64,2024-10-07
QnyiYn2m,2,2,KyzvJPU3,100,55,2024-10-07
BNPCXobh,263,15,n92UP9On,100,31,2024-10-07
wfsebf3S,91,13,4pxu32nG,100,49,2024-10-07
XOdYFxGW,181,10,fipKuLOc,100,79,2024-10-07
s7If7Vl1,53,20,i4XBSh1C,100,0,2024-10-07
TfZz4OYa,26,5,x8PjiIkM,100,78,2024-10-07
zuB8E53k,252,3,uGyXfXdw,100,92,2024-10-07
7q2RKdwG,97,8,5mQZ8S7f,100,80,2024-10-07
IvxoSph5,212,18,itilJaou,100,9,2024-10-07
J9FMttZi,201,16,hGHSO1Z5,100,4,2024-10-07
JmT5emNA,215,7,sxnDpYkl,100,43,2024-10-07
PTJRylvc,232,17,NDRHqzPO,100,66,2024-10-07
PXW9TGRf,87,15,3f6nhA6B,100,17,2024-10-07
Mcky0x0f,176,1,lx5rxEjY,100,100,2024-10-07
wXrSjhk0,85,1,WMAQC0b3,100,0,2024-10-07
Cs0Qisst,51,16,2c4tsyTe,100,16,2024-10-07
sll0kwzD,295,7,CSd7FoGw,100,64,2024-10-07
AZOQ4I6h,127,13,EGM3TCVQ,100,63,2024-10-07
us1DhIfw,222,16,1AHgC1Bx,100,2,2024-10-07
Oi9nEbA0,167,8,bu5hfVmS,100,17,2024-10-07
4fhDCs8j,129,5,Jy94RDEn,100,44,2024-10-07
8u38MWr2,10,4,otP7jIm1,100,32,2024-10-07
s8xldNcA,165,10,8k9oP7i6,100,96,2024-10-07
9U5Shewo,275,12,wgc48jeS,100,93,2024-10-07
0EjKIOnb,13,15,2yJrPNwJ,100,52,2024-10-07
NNrDTw5T,74,2,ARjvDDOk,100,27,2024-10-07
75RCQFdn,202,19,02g2bsvT,100,17,2024-10-07
3YqtXZUg,86,14,dSrDs2c5,100,8,2024-10-07
jO2S6Bkd,116,1,lnfZWJ8u,100,53,2024-10-07
xpLKvnDw,287,20,M1xg0PC1,100,25,2024-10-07
WFStuRvO,243,17,m5YJwyYr,100,93,2024-10-07
4PnmFD5t,177,4,SmlybgVU,100,82,2024-10-07
AIJSoSfl,183,4,yeVqVXJw,100,26,2024-10-07
NrO6Tvkr,144,16,KklZiGuQ,100,86,2024-10-07
jHXhJlq6,211,9,8wMpgahQ,100,60,2024-10-07
cMpo4NUV,129,12,wfnQnvR0,100,45,2024-10-07
2pDdhbc8,225,18,drmLoO6z,100,16,2024-10-07
A1q8BWuk,202,18,LKsu6aQj,100,79,2024-10-07
sAkAddur,117,14,0SG1CVKe,100,97,2024-10-07
EteRc7Pl,247,8,6fE4oODU,100,53,2024-10-07
