feedbackId,courseId,userId,enrollmentId,overallSatisfaction,contentQuality,instructorEffectiveness,comments,createdAt
shbaDgkV,7,105,RZ7cihJx,1,3,5,Very informative.,2024-10-07
BwEGUxB2,19,293,k6r2vkTu,2,2,3,Could be better.,2024-10-07
ObiWW046,7,196,ASvK7fCz,3,2,3,Could be better.,2024-10-07
IuBo4RRn,3,96,X4WGuGe4,1,3,3,Great course!,2024-10-07
DF6tkZQa,13,116,caWcxDBs,2,4,5,Very informative.,2024-10-07
75mNP6jL,8,161,WGQnQqW3,5,5,1,Could be better.,2024-10-07
5rYxGDLz,2,9,flWoeMDN,1,5,4,Could be better.,2024-10-07
jB46GzCs,11,248,JxWHzqff,2,3,5,Great course!,2024-10-07
WSq0RSy0,4,16,KuBWisDH,1,3,2,Very informative.,2024-10-07
axImQQQG,19,54,Xt1hrtxS,4,5,2,Could be better.,2024-10-07
RpMr5ssd,5,127,HbcNU0sR,1,3,2,Very informative.,2024-10-07
JD64sFHr,9,93,Ujf78cHa,2,2,5,Could be better.,2024-10-07
ovAHKt17,4,250,lBCK3yIy,5,5,3,Very informative.,2024-10-07
q57VSzPs,20,237,58hBrhaw,2,2,3,Very informative.,2024-10-07
2OD9q2vG,4,129,IbSq8LYM,3,5,5,Very informative.,2024-10-07
zbwDJBxL,2,122,VJxdwMSU,1,4,5,Could be better.,2024-10-07
bxnFkxkS,9,104,VoX521Jk,3,5,4,Very informative.,2024-10-07
qYXfW8TH,14,138,U9q1U0FC,3,3,3,Very informative.,2024-10-07
IubqvF2W,16,271,B1g0LK0V,4,1,2,Great course!,2024-10-07
b7jg5fFb,11,158,6ht0XOsX,1,2,3,Great course!,2024-10-07
pWtvlKQb,5,272,rqbqE1T8,3,3,5,Great course!,2024-10-07
qqLgW2kR,6,279,8CimvsWz,4,1,3,Very informative.,2024-10-07
iMoBo7a8,17,227,kOE6RJTY,3,4,1,Could be better.,2024-10-07
ZGWiBngj,1,110,eW2bjMXa,3,3,5,Very informative.,2024-10-07
gUOisT4I,13,86,EMl6Vcpi,3,5,3,Could be better.,2024-10-07
XJLILPpL,6,129,ueNkEBbC,1,4,3,Could be better.,2024-10-07
Q2n3kEF3,7,25,eFEJjZqA,3,4,5,Very informative.,2024-10-07
lZQ4NVR1,8,262,OZB9Vp5g,1,3,1,Very informative.,2024-10-07
cD3MSLPC,19,95,nQiy4jq6,2,3,1,Could be better.,2024-10-07
W3WfsSHV,5,236,ACtscF6M,5,5,3,Could be better.,2024-10-07
gnAtaNBp,15,73,LchouYm0,5,3,4,Very informative.,2024-10-07
2yBCrCLJ,14,187,H86ICLIT,1,1,1,Could be better.,2024-10-07
5oHLx26J,10,268,SMfBsxxM,1,5,2,Great course!,2024-10-07
LL2DpIbL,1,126,TtFzTKgQ,2,5,3,Could be better.,2024-10-07
8ffsoOQL,3,158,9LQAVkk2,4,3,3,Very informative.,2024-10-07
LgfIuwLK,3,214,1igZkOBW,5,4,3,Could be better.,2024-10-07
mise2sQ0,14,41,3qZ9ovMC,5,2,2,Could be better.,2024-10-07
0643xao6,15,110,PnXJrGBH,4,5,2,Very informative.,2024-10-07
10f5tNIg,12,5,M1fdz0jG,3,3,2,Could be better.,2024-10-07
VmWt6xKw,14,139,uy9eRXFL,2,5,5,Great course!,2024-10-07
H10OBF4f,16,61,iBKL4hKh,2,3,5,Could be better.,2024-10-07
XFWYYzvV,9,165,qt96Llkn,3,1,3,Great course!,2024-10-07
V14abOqS,2,84,gBCXr2ZU,4,1,5,Very informative.,2024-10-07
7vQwZi8q,3,265,GpPQNfiy,5,1,1,Great course!,2024-10-07
d83Oozg5,8,45,ichbUnYi,1,2,4,Could be better.,2024-10-07
TX4CQjGs,11,51,mYyLjCeU,2,3,2,Very informative.,2024-10-07
Pla2lQKO,1,246,LKQurMrm,2,2,1,Very informative.,2024-10-07
txPvUzaZ,20,75,S9b5iQPo,1,5,5,Very informative.,2024-10-07
dJyyAp32,17,204,uUpI9Gie,3,4,2,Great course!,2024-10-07
399ujhFs,17,299,Hqhe83u3,4,1,1,Very informative.,2024-10-07
fbZYrYJA,20,29,OsoBsrA5,3,4,4,Could be better.,2024-10-07
c57p4T5d,5,151,PF95Ksdx,1,1,3,Great course!,2024-10-07
1kjKmK8b,7,33,WjvwmZMf,5,1,4,Very informative.,2024-10-07
p9U9Ii5W,10,60,Ef03oLSX,1,2,1,Could be better.,2024-10-07
JooQYMld,11,156,P8cdo2af,3,5,2,Could be better.,2024-10-07
z0eDkQdi,5,287,0e8W5GKI,3,3,2,Great course!,2024-10-07
5uhGlTVl,18,72,zcGThGBZ,4,3,3,Very informative.,2024-10-07
hJqqFibO,10,21,LIQXA3c6,3,1,4,Very informative.,2024-10-07
vGiZpMrM,19,107,8HpdIBiz,2,3,3,Could be better.,2024-10-07
KkrSwqj1,12,289,tmuUbBZr,3,1,2,Great course!,2024-10-07
zYWBgR82,19,79,4TBLvCBn,4,2,4,Very informative.,2024-10-07
MVlb9JNB,9,236,AFouYDku,2,3,5,Very informative.,2024-10-07
MRnGosul,18,113,VqeimZVm,4,5,5,Great course!,2024-10-07
Ev5nnupY,6,74,EHSwPfI0,3,2,5,Great course!,2024-10-07
CCmWORQ4,4,210,LLkpiFGZ,1,3,3,Very informative.,2024-10-07
lcwqhXbZ,14,223,KsYsTv2a,3,3,1,Could be better.,2024-10-07
JWvHbnge,6,181,VNVIRbo9,1,2,1,Very informative.,2024-10-07
k1Uejemj,12,62,tTh30d4H,2,2,3,Very informative.,2024-10-07
Z5Fn3E6c,14,43,borec8So,2,5,4,Could be better.,2024-10-07
Cxqf5S9P,6,35,QTlpazPT,2,5,1,Great course!,2024-10-07
XqSwSohy,2,37,LmobF8Mc,4,4,1,Great course!,2024-10-07
HZfctiSr,11,83,WgFZFvh6,5,1,1,Could be better.,2024-10-07
GsNuCG9z,5,96,U1dIUIMK,1,5,4,Very informative.,2024-10-07
RcMTQEBe,16,106,mu1Rw6HJ,4,3,1,Could be better.,2024-10-07
HuqU7wwt,6,266,yojI5hAu,1,4,4,Great course!,2024-10-07
r78liwxj,8,207,R588ASjp,1,1,5,Great course!,2024-10-07
ugoXnykc,7,201,AkBJTzh2,3,4,3,Could be better.,2024-10-07
I8Fpdi8w,13,253,2Gll1AJu,4,2,2,Very informative.,2024-10-07
oz5nh2wr,4,135,pvJcL4QA,4,4,1,Could be better.,2024-10-07
RwWcXuAt,5,180,JeluwU1P,1,1,3,Could be better.,2024-10-07
hdbFMVjf,14,162,sGR0p4lT,3,5,2,Could be better.,2024-10-07
S9VY7ApF,11,239,ba2z1ohk,5,2,2,Very informative.,2024-10-07
m0LQ0k7a,13,217,Cwvdw6PK,1,3,5,Very informative.,2024-10-07
R8TfcFCc,16,183,DKqUxXSV,3,1,3,Very informative.,2024-10-07
LqiWEwL4,13,230,JwN5o5gi,4,4,4,Great course!,2024-10-07
hx99sFIc,14,40,TpvzAmg6,4,3,2,Great course!,2024-10-07
sDwC3yT2,16,268,lHAdZmNd,1,4,4,Great course!,2024-10-07
upduKv9i,10,132,Ox1Os3za,3,4,5,Could be better.,2024-10-07
id8mONBg,4,202,d2OFaPNA,1,1,3,Very informative.,2024-10-07
pazSdRDl,17,22,wkloLP9N,5,4,5,Very informative.,2024-10-07
3pNWBSL0,10,171,MoUX5AKg,1,3,5,Could be better.,2024-10-07
nbP1swRZ,20,171,UaxQO9iq,3,2,4,Could be better.,2024-10-07
ZWfuFbZ3,9,70,gQxtXgQc,2,4,1,Could be better.,2024-10-07
Q5URIg2H,2,143,gd9zZDbW,3,1,5,Very informative.,2024-10-07
LicesQnb,16,88,c3f6NSf0,2,1,2,Very informative.,2024-10-07
4zn6HVkp,6,262,T1L5ut6b,2,4,1,Great course!,2024-10-07
yGZXNeSI,6,137,nOXIPO8k,5,3,4,Great course!,2024-10-07
LCoImANR,7,272,mPzSUqXi,4,3,4,Great course!,2024-10-07
8jElmZ0Z,11,58,cEsmDnLf,4,2,2,Could be better.,2024-10-07
HusdZl67,9,149,oDsA3ESg,5,4,2,Very informative.,2024-10-07
mk6RIK8b,12,130,fas3aud0,5,5,4,Very informative.,2024-10-07
oVbnFE6a,10,192,csPwwoBm,5,4,1,Great course!,2024-10-07
OL2wkoFi,2,159,jnPdRoid,5,2,4,Great course!,2024-10-07
xXskfWbe,15,134,9Nj8mUVL,2,5,3,Very informative.,2024-10-07
R6tkZcXV,12,70,4fEI7CX2,2,4,2,Very informative.,2024-10-07
7y7P8fuw,19,206,WVxdow8f,5,3,1,Great course!,2024-10-07
lwbr3sVh,12,115,8hsPqTcZ,4,1,2,Great course!,2024-10-07
CYwCQtjh,11,153,4vuvCPfn,1,3,2,Very informative.,2024-10-07
2j8Uc7az,4,136,ErtDNDcj,2,2,4,Great course!,2024-10-07
KgcSnARg,9,4,G4joXiZs,2,2,1,Very informative.,2024-10-07
TD2DFJLz,5,245,UzqGV7hR,2,4,3,Could be better.,2024-10-07
Qy7kSF8A,9,69,O0pV6gRU,5,1,3,Could be better.,2024-10-07
f6EkKZYP,18,117,GJ1GF6Sr,4,4,4,Could be better.,2024-10-07
1DKuz852,4,125,OaudK4U4,3,5,2,Very informative.,2024-10-07
QNqM5S1K,3,162,ucaK7JUN,1,4,5,Very informative.,2024-10-07
DvVKEKNV,8,138,a33T8KUy,2,4,2,Could be better.,2024-10-07
URbCsLzJ,3,72,Ho9sGDg1,3,2,3,Very informative.,2024-10-07
R7r9puUZ,19,287,cRIDH0VG,1,4,1,Great course!,2024-10-07
uDBxSEGI,20,60,SNh88iFl,2,1,4,Could be better.,2024-10-07
qYeaBLx7,14,230,rOjE6pp0,5,2,2,Could be better.,2024-10-07
iHIx1Ihd,10,155,ahpG5ubw,5,1,4,Could be better.,2024-10-07
GMivvvxX,14,128,MNtjiyEb,2,5,5,Great course!,2024-10-07
RgXF0o0Y,3,33,ZJMUvLdW,4,1,4,Could be better.,2024-10-07
07S3LijL,12,92,ds4aTZG8,4,3,2,Very informative.,2024-10-07
3IZyX9Vz,18,268,VoomfzsP,5,3,4,Very informative.,2024-10-07
uBOMtNOD,4,181,AqEOfqVJ,2,2,3,Great course!,2024-10-07
JIGAXejB,13,188,qjqltloQ,2,1,5,Could be better.,2024-10-07
ydR8A52S,3,205,ZoKB4eoO,3,4,2,Very informative.,2024-10-07
cBhYjiR2,7,253,ppIjyRay,4,3,3,Great course!,2024-10-07
SoE2Xhef,8,177,884vkYq1,2,4,5,Could be better.,2024-10-07
uvTOLZWY,15,142,pGG9v2j6,5,5,3,Great course!,2024-10-07
tB8vnSVJ,8,78,ZGcun1QG,1,5,1,Could be better.,2024-10-07
HGQ2UCza,3,181,1mW1vomo,3,3,4,Very informative.,2024-10-07
uZVoWQZT,17,127,rsnbAnu3,4,2,2,Could be better.,2024-10-07
GATMJIiT,6,216,rL7RN9QV,4,4,2,Very informative.,2024-10-07
zBmBFdej,3,274,fc4eqj6h,2,5,5,Great course!,2024-10-07
ULP0vduI,17,133,TLR7AhBx,4,1,4,Great course!,2024-10-07
4IRX7rv4,1,222,R6j7Z1PS,3,1,4,Very informative.,2024-10-07
w2dNZgkg,19,104,ZSTLuNdj,4,3,4,Very informative.,2024-10-07
38fMuXRl,16,146,5YGtU3pu,1,1,4,Very informative.,2024-10-07
hFG7aAXm,3,204,8geRUowE,2,4,4,Very informative.,2024-10-07
ABjd5wjD,19,250,Tek2i6KB,3,4,1,Very informative.,2024-10-07
Y0V1xEYS,19,296,4YNCwsf7,2,5,1,Could be better.,2024-10-07
mshET68t,9,60,pmRgrDfD,5,2,2,Very informative.,2024-10-07
dJYiAO58,4,256,CPB2s4Q8,4,5,1,Great course!,2024-10-07
Ape2f9MN,9,74,vXEwlOb2,4,1,1,Very informative.,2024-10-07
eyXBpKFT,12,268,mr84i5mc,2,1,2,Could be better.,2024-10-07
7XxeTm8b,14,69,2zj1Yd2E,1,1,5,Very informative.,2024-10-07
j56zuOeJ,18,290,NvVBYLTU,2,5,5,Great course!,2024-10-07
wpC8fYbC,8,50,CJBsiXbS,2,2,1,Great course!,2024-10-07
DBZ7UFRG,11,45,5zjMXulc,5,1,5,Could be better.,2024-10-07
q9nZKkay,20,70,ZcVB4vML,5,1,3,Great course!,2024-10-07
Z4IwiNMg,18,9,jgxT7JlJ,5,5,2,Very informative.,2024-10-07
TTMEVCyu,13,206,iCxtpTBy,1,5,4,Great course!,2024-10-07
iciLpa86,12,142,lvyMbVax,2,5,3,Could be better.,2024-10-07
E6QUDiJD,18,237,9dN85CJU,3,5,3,Very informative.,2024-10-07
DHbRlHmr,10,274,hsYpb0Rr,5,3,4,Could be better.,2024-10-07
AaUsKghU,4,266,RrQR5zfM,2,5,5,Great course!,2024-10-07
l5oyVBwd,15,145,SOspUiOX,4,2,5,Very informative.,2024-10-07
eyE3xZO9,11,250,Bi861VQ9,1,2,1,Could be better.,2024-10-07
A4PFztiO,11,39,bgMboBlr,4,4,3,Great course!,2024-10-07
1hBausQZ,10,67,Vkuoq2P4,3,3,2,Great course!,2024-10-07
sPRgAXJ5,4,9,WXYtZmiq,1,2,5,Could be better.,2024-10-07
i6IXppV2,9,178,SajCX5y5,3,3,4,Great course!,2024-10-07
nDIHaLZa,3,259,tQIUOqKI,3,5,3,Could be better.,2024-10-07
wCjsmNCf,3,50,JM6HZbx4,4,3,1,Great course!,2024-10-07
3RbxOJE1,19,244,tAhGKbW1,2,4,2,Great course!,2024-10-07
1jJZszYs,4,284,lddcQPts,1,1,5,Could be better.,2024-10-07
Bf4D2uOm,9,204,NKlXknAw,4,3,3,Great course!,2024-10-07
mRHeWsTD,12,248,y7X9oAWp,1,3,2,Could be better.,2024-10-07
f2bn5gbe,13,55,aKW1QkYG,3,3,2,Could be better.,2024-10-07
5VX41HHb,17,148,vHh3nrIS,2,1,3,Could be better.,2024-10-07
tWtP55G1,16,86,f9MfmUq0,2,3,4,Great course!,2024-10-07
a0ZYFqiL,14,255,vMKPh2Ds,1,4,4,Great course!,2024-10-07
ABn5Y5Pk,20,169,7fnYbjni,3,4,3,Great course!,2024-10-07
F4CGnrTF,3,139,H18SqHbO,3,1,3,Could be better.,2024-10-07
eooKh2VI,16,246,8PZ5kV6z,5,1,3,Great course!,2024-10-07
YpZ6clZj,1,300,lqdazx0a,1,5,2,Very informative.,2024-10-07
e6QxxchH,6,162,oj3QiNii,2,1,4,Very informative.,2024-10-07
y0X58tYA,6,154,hbFPA9qh,3,1,1,Great course!,2024-10-07
DY4MHn96,11,265,r4c2hcaA,2,4,1,Very informative.,2024-10-07
lkKMN5oY,2,238,xWmBZ6zB,4,4,1,Great course!,2024-10-07
4yqcBdvN,3,109,QY7bD2l9,3,4,5,Very informative.,2024-10-07
jQpO7819,17,48,UxQ4pf7o,3,2,5,Could be better.,2024-10-07
v9WIDH0m,10,63,hUthl3Qz,2,2,1,Great course!,2024-10-07
qa0ajHMP,10,199,n8glNgMb,2,1,5,Great course!,2024-10-07
kpEgXvcK,4,216,hq5JHOyq,5,3,2,Very informative.,2024-10-07
2G1bKD1I,1,72,DqAkrOEM,2,4,5,Great course!,2024-10-07
012OZgcO,18,92,4xt19cwA,3,1,5,Very informative.,2024-10-07
xpI9G9XP,4,59,cYS74C4V,5,5,3,Could be better.,2024-10-07
duwKHOh9,20,273,q3Pbqdsm,1,2,5,Could be better.,2024-10-07
sEEXVmxA,10,253,SzJErkEX,3,5,3,Very informative.,2024-10-07
LH9kxRAD,1,233,HmGMfcle,4,4,2,Great course!,2024-10-07
2RlCehqz,20,253,LAzN5FYr,5,3,1,Great course!,2024-10-07
GhiF1Kns,6,96,MUwYHozk,5,2,1,Could be better.,2024-10-07
ww1q8ynb,18,178,kn6Lijpf,5,2,5,Could be better.,2024-10-07
TX7eVkGP,15,109,K1XGr8W4,1,1,3,Could be better.,2024-10-07
SJlhawUg,19,261,abi3BUCO,3,3,2,Could be better.,2024-10-07
njciBPmT,18,175,e4omD1Lr,5,4,4,Great course!,2024-10-07
5M5vrwPY,14,213,iu5RXKSy,3,2,3,Great course!,2024-10-07
tCQ4Qi1G,7,48,iyDi7m4U,5,3,5,Could be better.,2024-10-07
Br2Lh2vz,16,15,jSsvAxH9,1,2,4,Great course!,2024-10-07
Rw48S70R,1,298,82qb7Cel,3,1,2,Very informative.,2024-10-07
QQMJU3s9,16,181,8HiUgsp9,2,2,4,Could be better.,2024-10-07
dO8T4ule,5,261,vY1NN4q5,4,1,3,Very informative.,2024-10-07
Bc65ZlYk,14,51,q6ISLGAW,3,5,1,Could be better.,2024-10-07
x8RgkUun,11,224,JWQBJKXo,5,2,5,Very informative.,2024-10-07
Uq29WwFx,18,251,MEpiTuRg,5,4,1,Great course!,2024-10-07
8BBlosBu,7,269,Xo3za4j4,1,2,1,Could be better.,2024-10-07
8cGCMBfQ,6,209,wI3mqvW1,2,4,1,Could be better.,2024-10-07
u2WAUkm1,1,5,JJQ6sDcU,2,3,2,Could be better.,2024-10-07
pit6M9kc,17,141,xabAFSZp,4,5,1,Very informative.,2024-10-07
5JhiJDhS,5,242,lQ7m52Ff,2,4,1,Very informative.,2024-10-07
4H3QoqTs,13,33,S8mvaJ9B,4,2,3,Could be better.,2024-10-07
Oo4m2sGk,19,248,VMRpD63c,2,4,4,Very informative.,2024-10-07
wumXm4Ye,10,146,hlVWrFQv,1,4,3,Great course!,2024-10-07
tRFoBAGD,14,224,5GZoTAOL,2,4,2,Could be better.,2024-10-07
TFsdAoAU,19,126,bSJu6ywd,1,4,4,Great course!,2024-10-07
eI97ivqS,7,126,lDitARaE,1,1,3,Could be better.,2024-10-07
UomHiiDW,19,280,X25MkJiM,3,2,3,Great course!,2024-10-07
rFWfX0W2,19,4,kYVWzl8d,2,4,1,Could be better.,2024-10-07
A1I3rZIx,14,182,qgPgNCmu,4,4,3,Could be better.,2024-10-07
mFDmFwgZ,4,275,tf7EMXAP,5,3,1,Could be better.,2024-10-07
ceEatTVR,13,57,m2qNp4ic,1,3,1,Very informative.,2024-10-07
92zyqGMA,4,263,O89W5TKJ,5,3,3,Could be better.,2024-10-07
T7c7s6nZ,6,233,T6UlPepJ,3,1,1,Could be better.,2024-10-07
85YPr2Xt,11,269,j53LiI6l,5,1,5,Great course!,2024-10-07
wLfdI0yB,2,48,A8XJ6ezr,3,1,2,Great course!,2024-10-07
jzSedi5o,7,100,duXk3Wg3,4,5,1,Great course!,2024-10-07
WaYiiXpZ,17,31,5llRkzB0,5,1,5,Great course!,2024-10-07
TMcNQ3gW,14,273,Z12bgn9z,5,4,2,Great course!,2024-10-07
4z4FUydu,5,34,9aGCc3Wp,2,4,2,Could be better.,2024-10-07
OClOzB3B,17,37,21KITRjQ,4,3,1,Could be better.,2024-10-07
hX98G0Ua,17,199,RIVHdjGl,5,3,3,Could be better.,2024-10-07
WkSu3zra,9,73,JS0XNPPr,2,5,1,Could be better.,2024-10-07
L4FMMqRm,11,157,2iMilOXp,2,1,5,Could be better.,2024-10-07
0Q1QBdjG,13,212,lvlM4Qhl,3,4,4,Very informative.,2024-10-07
8e8blzja,20,208,xckEa7SP,2,5,3,Great course!,2024-10-07
BboE2UTY,10,153,tDesm93z,5,2,3,Great course!,2024-10-07
hupRiYYl,8,35,wk5okGR6,3,3,4,Very informative.,2024-10-07
qM5scrkH,7,169,qJtnSlyH,1,5,5,Could be better.,2024-10-07
xS0vaciN,1,250,g8TrAc7R,3,1,2,Very informative.,2024-10-07
MdNdgCML,4,19,9QvTyLTU,4,3,5,Very informative.,2024-10-07
3H5wRJHR,4,264,DVWWbzl3,2,2,4,Very informative.,2024-10-07
fLQ6VQ3m,8,85,5JwD5qmG,2,3,3,Could be better.,2024-10-07
2pxjyZLV,12,186,VxGxXOwc,5,1,1,Could be better.,2024-10-07
bZ4QiFKe,4,130,kCHKRYhD,4,2,1,Very informative.,2024-10-07
yXBjyyD2,9,186,yanFgNv2,2,4,1,Could be better.,2024-10-07
I3qHmqKt,14,239,4MZe5VLT,2,3,4,Great course!,2024-10-07
CMVIlnut,4,215,lWa1C0VJ,1,4,4,Could be better.,2024-10-07
6xCVJWdE,9,68,8PA24aeR,4,1,2,Great course!,2024-10-07
qTbtCBHU,6,271,mQFHV3CE,1,1,5,Could be better.,2024-10-07
i7y4Lb6G,14,38,klwncfzP,3,2,5,Great course!,2024-10-07
w6BC2CZS,2,81,gi0tPaSE,3,2,5,Very informative.,2024-10-07
6Ahip2De,8,130,zIpzHUDj,2,3,2,Very informative.,2024-10-07
53KbYdcS,20,33,5AAtHZuL,4,4,1,Very informative.,2024-10-07
gWFWVeye,12,72,T2Ahn5h9,4,5,3,Could be better.,2024-10-07
RJSbF9fL,17,116,gc2sDTkY,4,2,1,Great course!,2024-10-07
9W2GcVWg,2,192,5hups20V,4,1,4,Very informative.,2024-10-07
FT15wlbQ,19,118,ePNOhPGO,4,2,5,Great course!,2024-10-07
NpOPA8i4,14,19,QBGb5HUA,1,1,4,Could be better.,2024-10-07
aGSciOgY,4,13,7gZSikpf,3,1,1,Very informative.,2024-10-07
WlpzEywE,20,21,jhpt7W53,1,5,2,Great course!,2024-10-07
y0Fq5rG4,14,11,nByxDiyU,2,3,4,Could be better.,2024-10-07
